performance_id,week_number,fantasy_points,player_id,last_changed_date
2501,202301,20,1001,2024-03-01
2502,202301,22,1002,2024-03-01
2503,202301,13,1003,2024-03-01
2504,202301,15,1004,2024-03-01
2505,202301,3,1005,2024-03-01
2506,202301,8,1006,2024-03-01
2507,202301,23,1007,2024-03-01
2508,202301,10,1008,2024-03-01
2509,202301,13,1009,2024-03-01
2510,202301,4,1010,2024-03-01
2511,202301,18,1011,2024-03-01
2512,202301,10,1012,2024-03-01
2513,202301,12,1013,2024-03-01
2514,202301,9,1014,2024-03-01
2515,202301,23,1015,2024-03-01
2516,202301,22,1016,2024-03-01
2517,202301,8,1017,2024-03-01
2518,202301,8,1018,2024-03-01
2519,202301,10,1019,2024-03-01
2520,202301,5,1020,2024-03-01
2521,202301,19,1021,2024-03-01
2522,202301,3,1022,2024-03-01
2523,202301,3,1023,2024-03-01
2524,202301,10,1024,2024-03-01
2525,202301,3,1025,2024-03-01
2526,202301,4,1026,2024-03-01
2527,202301,19,1027,2024-03-01
2528,202301,1,1028,2024-03-01
2529,202301,18,1029,2024-03-01
2530,202301,19,1030,2024-03-01
2531,202301,19,1031,2024-03-01
2532,202301,5,1032,2024-03-01
2533,202301,6,1033,2024-03-01
2534,202301,22,1034,2024-03-01
2535,202301,4,1035,2024-03-01
2536,202301,16,1036,2024-03-01
2537,202301,24,1037,2024-03-01
2538,202301,23,1038,2024-03-01
2539,202301,7,1039,2024-03-01
2540,202301,2,1040,2024-03-01
2541,202301,13,1041,2024-03-01
2542,202301,25,1042,2024-03-01
2543,202301,7,1043,2024-03-01
2544,202301,10,1044,2024-03-01
2545,202301,3,1045,2024-03-01
2546,202301,2,1046,2024-03-01
2547,202301,13,1047,2024-03-01
2548,202301,5,1048,2024-03-01
2549,202301,15,1049,2024-03-01
2550,202301,6,1050,2024-03-01
2551,202301,8,1051,2024-03-01
2552,202301,25,1052,2024-03-01
2553,202301,14,1053,2024-03-01
2554,202301,7,1054,2024-03-01
2555,202301,21,1055,2024-03-01
2556,202301,23,1056,2024-03-01
2557,202301,16,1057,2024-03-01
2558,202301,20,1058,2024-03-01
2559,202301,11,1059,2024-03-01
2560,202301,21,1060,2024-03-01
2561,202301,20,1061,2024-03-01
2562,202301,7,1062,2024-03-01
2563,202301,25,1063,2024-03-01
2564,202301,6,1064,2024-03-01
2565,202301,14,1065,2024-03-01
2566,202301,20,1066,2024-03-01
2567,202301,21,1067,2024-03-01
2568,202301,7,1068,2024-03-01
2569,202301,24,1069,2024-03-01
2570,202301,3,1070,2024-03-01
2571,202301,17,1071,2024-03-01
2572,202301,7,1072,2024-03-01
2573,202301,17,1073,2024-03-01
2574,202301,5,1074,2024-03-01
2575,202301,24,1075,2024-03-01
2576,202301,8,1076,2024-03-01
2577,202301,21,1077,2024-03-01
2578,202301,7,1078,2024-03-01
2579,202301,3,1079,2024-03-01
2580,202301,4,1080,2024-03-01
2581,202301,15,1081,2024-03-01
2582,202301,1,1082,2024-03-01
2583,202301,22,1083,2024-03-01
2584,202301,20,1084,2024-03-01
2585,202301,22,1085,2024-03-01
2586,202301,10,1086,2024-03-01
2587,202301,19,1087,2024-03-01
2588,202301,24,1088,2024-03-01
2589,202301,23,1089,2024-03-01
2590,202301,20,1090,2024-03-01
2591,202301,9,1091,2024-03-01
2592,202301,13,1092,2024-03-01
2593,202301,3,1093,2024-03-01
2594,202301,3,1094,2024-03-01
2595,202301,8,1095,2024-03-01
2596,202301,3,1096,2024-03-01
2597,202301,11,1097,2024-03-01
2598,202301,6,1098,2024-03-01
2599,202301,25,1099,2024-03-01
2600,202301,5,1100,2024-03-01
2601,202301,25,1101,2024-03-01
2602,202301,4,1102,2024-03-01
2603,202301,20,1103,2024-03-01
2604,202301,10,1104,2024-03-01
